Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/10/19 3:00,19.6,12.3,21,2.2,30
1/10/19 4:00,19.6,13.7,24,2.1,38
1/10/19 5:00,19.6,20.1,19,2.6,43
1/10/19 6:00,19.6,22.3,24,2.4,45
1/10/19 7:00,19.8,33.1,29,2,39
1/10/19 8:00,21,34.7,1,2.3,27
1/10/19 9:00,22.1,36.1,19,1.7,41
1/10/19 10:00,24.1,33.1,338,1.8,45
1/10/19 11:00,25.6,22.8,326,2.6,66
1/10/19 12:00,25.7,15,302,2.8,59
1/10/19 13:00,24.8,14,328,2.5,54
1/10/19 14:00,24.5,17.3,337,2,46
1/10/19 15:00,24.4,19.5,336,2.5,43
1/10/19 16:00,23.5,23,341,2.3,46
1/10/19 17:00,22.3,27.9,23,1.4,45
1/10/19 18:00,21.9,30.3,21,2.3,44
1/10/19 19:00,20.9,23.8,21,2.9,47
1/10/19 20:00,20.1,25.3,18,2.1,44
1/10/19 21:00,19.8,31.2,19,2.3,53
1/10/19 22:00,19.6,31.3,20,2.7,60
1/10/19 23:00,19.4,23.1,26,2.3,71
1/11/19 0:00,19.4,21.4,24,2,74
1/11/19 1:00,19.5,26.7,20,1.6,65
1/11/19 2:00,19.6,29.3,17,2.6,70
1/11/19 3:00,19.4,19.9,24,2,64
1/11/19 4:00,19.5,25.3,25,2,71
1/11/19 5:00,19.6,23,20,1.9,66
1/11/19 6:00,19.8,28.8,10,1.9,69
1/11/19 7:00,20.2,37.5,39,1.5,71
1/11/19 8:00,21.3,45.2,1,1.3,75
1/11/19 9:00,23.2,52.6,64,1.2,85
1/11/19 10:00,24.9,37.3,337,1.7,85
1/11/19 11:00,26.4,19.5,289,1.9,83
1/11/19 12:00,27.2,13.1,280,2.1,65
1/11/19 13:00,27.5,11.4,301,2.2,56
1/11/19 14:00,27.2,13.5,329,2.8,49
1/11/19 15:00,25.3,17.3,327,2.5,47
1/11/19 16:00,23.7,16.8,335,3,43
1/11/19 17:00,22.2,18.3,336,3.1,30
1/11/19 18:00,21,21.2,4,2.9,27
1/11/19 19:00,20.7,27.8,8,2.2,38
1/11/19 20:00,20.7,32.1,22,1.5,49
1/11/19 21:00,20.9,44.3,49,1.3,56
1/11/19 22:00,21.4,50.9,67,0.6,63
1/11/19 23:00,21.4,55.7,77,0.5,62
1/12/19 0:00,21.7,53.6,51,1.4,61
1/12/19 1:00,22.5,30.8,81,0.6,50
1/12/19 2:00,22.3,22,57,0.7,54
1/12/19 3:00,22,17.8,41,0.9,46
1/12/19 4:00,21.7,23.9,355,2,35
1/12/19 5:00,20.7,42.9,19,1.6,32
1/12/19 6:00,20.4,55.7,53,0.7,50
